2017-01-04,9,503,1337,822,1257,6057,980,65,3358,474,1535
2017-01-04,10,523,1312,854,1227,6195,991,68,3384,484,1551
2017-01-04,11,522,1273,818,1186,6406,1010,72,3435,491,1558
2017-01-04,12,530,1285,813,1178,6575,1020,78,3463,502,1551
2017-01-04,13,541,1294,797,1184,6684,1023,77,3468,494,1538
2017-01-04,14,534,1306,797,1186,6691,1019,78,3497,510,1564
2017-01-04,15,528,1332,807,1252,6684,1016,77,3527,515,1616
2017-01-04,16,533,1343,835,1340,6676,1049,79,3567,519,1611
2017-01-04,17,542,1359,916,1432,6832,1132,82,3682,541,1659
2017-01-04,18,552,1377,1016,1498,7230,1262,85,3870,573,1762
2017-01-04,19,575,1389,979,1512,7224,1267,86,3871,563,1739
2017-01-04,20,601,1403,959,1517,7097,1256,84,3833,583,1716
2017-01-04,21,645,1398,955,1471,6968,1236,82,3756,577,1696
2017-01-04,22,639,1414,901,1406,6714,1175,81,3635,568,1655
2017-01-04,23,632,1409,811,1346,6341,1081,77,3440,524,1569
2017-01-04,24,608,1353,767,1233,5906,983,72,3248,485,1491
2017-01-05,1,591,1322,718,1189,5579,919,69,3081,454,1437
2017-01-05,2,583,1297,683,1170,5333,886,67,2977,431,1409
2017-01-05,3,578,1282,663,1178,5202,863,65,2927,415,1403
2017-01-05,4,570,1285,660,1176,5146,855,66,2907,415,1392
2017-01-05,5,537,1275,673,1182,5168,870,70,2945,425,1411
2017-01-05,6,528,1266,750,1209,5386,917,71,3005,452,1480
2017-01-05,7,544,1300,900,1252,5835,1004,77,3206,484,1587
2017-01-05,8,574,1363,919,1356,6349,1097,77,3488,504,1712
2017-01-05,9,592,1410,896,1382,6557,1120,78,3556,531,1758
2017-01-05,10,596,1413,895,1277,6709,1111,77,3571,541,1768
2017-01-05,11,589,1402,877,1244,6790,1083,84,3586,544,1747
2017-01-05,12,583,1405,889,1217,6875,1087,83,3576,559,1745
2017-01-05,13,575,1405,897,1223,6851,1055,79,3545,561,1734
2017-01-05,14,580,1396,898,1241,6881,1035,76,3558,571,1731
2017-01-05,15,576,1337,941,1268,6903,1068,76,3572,572,1731
2017-01-05,16,571,1352,943,1348,6905,1099,79,3607,568,1732
2017-01-05,17,581,1412,1019,1460,7039,1200,82,3748,575,1753
2017-01-05,18,598,1473,1084,1526,7361,1334,80,3930,613,1870
2017-01-05,19,616,1438,1057,1528,7358,1342,82,3900,611,1894
2017-01-05,20,618,1459,1033,1514,7253,1337,83,3863,632,1891
2017-01-05,21,619,1457,1001,1486,7114,1306,80,3831,599,1854
2017-01-05,22,614,1465,945,1415,6862,1236,84,3698,588,1781
2017-01-05,23,595,1425,833,1369,6463,1142,75,3485,552,1710
2017-01-05,24,584,1395,850,1192,6035,1057,76,3330,501,1611
2017-01-06,1,567,1388,797,1127,5668,987,76,3155,488,1543
2017-01-06,2,560,1355,788,1079,5435,956,73,3055,451,1513
2017-01-06,3,548,1338,706,1154,5349,943,74,3009,437,1515
2017-01-06,4,543,1330,786,1067,5315,932,73,3007,433,1510
2017-01-06,5,543,1335,734,1191,5331,944,74,2970,431,1534
2017-01-06,6,534,1377,812,1253,5560,990,78,3087,439,1584
2017-01-06,7,545,1391,905,1322,5981,1080,76,3317,487,1681
2017-01-06,8,573,1444,1023,1362,6470,1170,79,3530,536,1805
2017-01-06,9,599,1460,1022,1291,6673,1184,77,3562,552,1821
2017-01-06,10,600,1450,1007,1095,6766,1140,82,3630,538,1735
2017-01-06,11,596,1449,988,944,6814,1060,74,3617,519,1662
2017-01-06,12,588,1444,958,886,6850,1006,79,3521,517,1704
2017-01-06,13,582,1438,954,876,6810,977,79,3487,512,1699
2017-01-06,14,584,1417,924,934,6803,973,78,3473,510,1707
2017-01-06,15,578,1405,928,1007,6743,1005,81,3470,512,1719
2017-01-06,16,574,1404,949,1210,6739,1081,87,3503,521,1753
2017-01-06,17,580,1449,1060,1345,6864,1193,88,3655,554,1793
2017-01-06,18,591,1508,1135,1482,7259,1326,87,3917,602,1873
2017-01-06,19,604,1502,1103,1455,7267,1333,84,3864,601,1876
2017-01-06,20,616,1518,1081,1477,7161,1322,85,3823,591,1868
2017-01-06,21,642,1516,1042,1471,7016,1298,82,3810,592,1841
2017-01-06,22,633,1483,994,1410,6769,1240,79,3657,568,1783
2017-01-06,23,622,1448,919,1351,6423,1156,77,3516,530,1679
2017-01-06,24,611,1402,852,1294,5976,1066,80,3269,483,1556
2017-01-07,1,598,1383,808,1244,5665,995,77,3117,452,1483
2017-01-07,2,586,1336,771,1234,5441,963,75,3001,439,1455
2017-01-07,3,579,1319,761,1235,5288,949,75,2957,431,1450
2017-01-07,4,575,1329,752,1230,5210,946,73,2944,436,1439
2017-01-07,5,570,1330,846,1157,5171,958,69,2949,432,1455
2017-01-07,6,564,1367,884,1180,5253,985,77,3031,436,1485
2017-01-07,7,576,1397,926,1244,5428,1042,75,3179,452,1539
2017-01-07,8,595,1418,950,1336,5655,1116,75,3310,476,1610
2017-01-07,9,619,1463,1017,1289,5852,1155,78,3312,500,1665
2017-01-07,10,627,1482,1012,1124,6040,1141,77,3312,513,1694
2017-01-07,11,620,1476,981,1061,6165,1096,77,3342,508,1674
2017-01-07,12,611,1461,1051,997,6278,1044,77,3304,503,1644
2017-01-07,13,608,1440,994,1039,6344,1017,81,3321,506,1634
