         144 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.209    0.209 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/service_account.py:318(refresh)
        2    0.000    0.000    0.194    0.097 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connectionpool.py:842(_validate_conn)
        2    0.000    0.000    0.194    0.097 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connection.py:282(connect)
        2    0.000    0.000    0.176    0.088 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/util/ssl_.py:282(ssl_wrap_socket)
        1    0.000    0.000    0.165    0.165 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/_client.py:118(jwt_grant)
        1    0.000    0.000    0.165    0.165 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/_client.py:83(_token_endpoint_request)
        1    0.000    0.000    0.164    0.164 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/auth/transport/requests.py:94(__call__)
        2    0.000    0.000    0.156    0.078 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/http/client.py:1287(getresponse)
        2    0.000    0.000    0.156    0.078 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/http/client.py:290(begin)
        2    0.000    0.000    0.155    0.077 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/http/client.py:257(_read_status)
       39    0.000    0.000    0.154    0.004 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.154    0.039 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py:572(readinto)
        4    0.000    0.000    0.154    0.039 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:998(recv_into)
        4    0.000    0.000    0.154    0.039 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:863(read)
        4    0.000    0.000    0.154    0.039 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:624(read)
        4    0.154    0.039    0.154    0.039 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.150    0.075 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:399(wrap_socket)
        2    0.000    0.000    0.150    0.075 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:723(__init__)
        2    0.000    0.000    0.149    0.075 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:1061(do_handshake)
        2    0.000    0.000    0.149    0.075 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:687(do_handshake)
        2    0.149    0.075    0.149    0.075 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.045    0.045 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/service_account.py:285(_make_authorization_grant_assertion)
        1    0.000    0.000    0.044    0.044 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/auth/jwt.py:63(encode)
        1    0.000    0.000    0.043    0.043 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/auth/crypt/_python_rsa.py:136(sign)
        1    0.000    0.000    0.043    0.043 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/rsa/pkcs1.py:248(sign)
        1    0.000    0.000    0.043    0.043 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/rsa/key.py:402(blinded_encrypt)
        2    0.041    0.021    0.041    0.021 {built-in method builtins.pow}
        1    0.000    0.000    0.041    0.041 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/rsa/core.py:33(encrypt_int)
        2    0.026    0.013    0.026    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.023    0.011 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/sessions.py:662(merge_environment_settings)
        2    0.000    0.000    0.022    0.011 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/utils.py:686(get_environ_proxies)
