0,2985
0,2774
0,2454
0,2167
0,1933
0,1735
0,1657
0,1624
11,1569
18,1394
75,1334
96,1278
103,1389
105,1309
98,1158
68,1258
10,1211
0,1054
0,1101
0,1155
0,1123
0,1035
0,896
0,830
0,664
0,614
0,619
0,849
0,1126
0,1392
0,1532
0,1688
11,1758
21,1718
79,1575
114,1399
118,1212
94,932
72,641
22,754
0,960
0,1054
0,1174
0,1761
0,1598
0,1572
0,1180
0,857
0,737
0,660
0,668
0,1552
0,1859
0,1624
0,1343
0,1225
9,986
11,730
31,860
17,939
20,462
16,268
12,275
0,270
0,270
0,269
0,370
0,455
0,456
0,463
0,651
0,1036
0,1623
0,2071
0,2406
0,2712
0,3287
0,3494
0,3647
0,3776
10,3929
11,3964
42,4022
39,4017
81,4029
10,4053
28,4082
13,4072
3,4053
0,4041
0,4066
0,4040
0,4003
0,3944
0,3902
0,3786
0,3700
0,3581
0,3462
0,3412
0,3270
0,3141
0,2989
0,2863
12,2905
19,2840
71,2810
55,2928
53,3003
60,2811
59,2641
16,2558
2,2530
0,2381
0,2292
0,2290
0,2236
0,2317
0,2201
0,2014
0,1908
0,1689
0,1423
0,1408
0,1324
0,1419
0,1523
0,1387
12,1299
24,1315
94,1175
145,1336
179,1625
169,1621
114,1511
73,1434
9,1330
0,1252
0,1194
0,1286
0,1310
0,1360
0,1349
0,1358
0,1379
0,1283
0,1229
0,1239
0,1161
0,1135
0,1045
0,947
13,1014
19,1083
93,1131
147,1247
176,1510
112,1750
79,2084
37,2227
10,2308
0,2455
0,2561
0,2647
0,2705
0,2947
0,2912
0,2960
0,3143
0,3104
0,2939
0,3243
0,3173
0,3187
0,3120
0,3079
11,2965
15,2896
37,2715
44,2647
85,2550
99,2420
80,2204
44,1990
6,1637
0,1264
0,1121
0,1112
0,1139
0,1197
0,1261
0,1374
0,1608
0,1863
0,2197
0,2531
0,2744
0,3069
0,3094
0,3292
10,3430
13,3517
26,3478
22,3430
20,3348
39,3155
59,2776
21,2272
1,2039
0,1994
0,1653
0,1817
0,2361
0,2535
0,2622
0,2695
0,2867
0,2874
0,2936
0,2910
0,2974
0,3392
0,3441
1,3632
7,3617
13,3597
30,3764
28,3829
23,3878
21,3506
9,3513
1,3942
0,3959
0,3852
0,3727
0,3766
0,3547
0,3344
0,3377
0,3590
0,3720
0,3496
0,3648
0,3705
0,3615
0,3565
0,3492
0,3133
13,2875
23,2577
74,2626
103,2830
78,2760
113,2930
86,2861
26,2917
3,3248
0,3282
0,3271
0,3454
0,3577
0,3640
0,3517
0,3250
0,3064
0,2866
0,2688
0,2451
0,2393
0,2355
0,2097
0,1787
9,1399
23,817
24,573
23,665
28,433
23,389
17,470
16,595
1,822
0,841
0,1055
0,1358
0,1650
0,1897
0,2213
0,2404
0,2541
0,2686
0,2756
0,2663
0,2593
0,2341
0,2179
0,1909
16,1612
34,1497
110,1258
173,1039
120,892
154,742
114,598
60,575
7,405
0,327
0,301
0,292
0,422
0,446
0,445
0,515
0,559
0,568
0,585
0,587
0,648
0,636
0,562
0,521
12,553
17,489
40,447
34,415
40,386
45,382
32,355
12,402
3,468
0,585
0,565
0,719
0,879
0,1022
0,938
0,965
0,1174
0,1110
0,884
0,629
0,501
0,395
0,375
0,313
26,242
92,183
162,151
139,143
131,176
140,282
112,441
62,440
19,385
0,463
0,590
0,777
0,910
0,1058
0,1097
0,1112
0,1063
0,988
0,865
0,920
0,958
0,1008
0,1030
0,1024
16,1037
58,943
117,844
161,672
153,595
97,484
49,430
19,367
2,309
0,407
0,390
0,483
0,492
0,560
0,709
0,810
0,823
0,1004
0,1401
0,1829
0,2129
0,2589
0,2777
0,2690
10,2565
34,2315
24,2259
19,2161
17,1899
17,1844
19,1747
13,1469
0,1455
0,1537
0,1586
0,1566
0,1305
0,1344
0,1482
0,1404
0,1367
0,1460
0,1421
0,1364
0,1272
0,1173
0,1121
0,1055
2,1008
17,1066
25,955
35,917
30,977
21,1059
20,1014
8,776
0,634
0,855
0,1341
0,1608
0,1755
0,2048
0,2033
0,1902
0,1816
0,1805
0,1625
0,1347
0,1215
0,1092
0,871
0,738
6,613
19,459
36,292
53,236
39,243
32,234
30,298
10,414
0,393
0,324
0,247
0,133
0,109
0,120
0,253
0,278
0,274
0,235
0,312
0,527
0,762
0,983
0,1080
0,1368
3,1509
14,1399
30,1285
34,1177
50,960
34,707
21,523
11,520
1,506
0,496
